ADU_index,ADU,essay_id,label,start_ind,end_ind,claim_type,ADU_text
T1,MajorClaim 391 489	they are able to sustain their cultural identities and doing so help they keep their origin values,essay002,train,391,489,MajorClaim,they are able to sustain their cultural identities and doing so help they keep their origin values
T2,MajorClaim 1936 2077	sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society,essay002,train,1936,2077,MajorClaim,sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society
T3,Premise 500 624	maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments,essay002,train,500,624,Premise,maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments
T4,Claim 1089 1156	sustaining the cultural values of immigrants is paramount essential,essay002,train,1089,1156,Claim,sustaining the cultural values of immigrants is paramount essential
T5,"Premise 626 839	Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues",essay002,train,626,839,Premise,"Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues"
T6,"Premise 841 946	Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values",essay002,train,841,946,Premise,"Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values"
T7,"Premise 948 1057	These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more",essay002,train,948,1057,Premise,"These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more"
T8,Premise 1168 1204	it is crucial to keep one’s identity,essay002,train,1168,1204,Premise,it is crucial to keep one’s identity
T9,Premise 1209 1307	they need a connection back to their country as well as teach their children their value of origin,essay002,train,1209,1307,Premise,they need a connection back to their country as well as teach their children their value of origin
T10,Claim 1711 1795	keeping the cultural traditions in the destination countries is tremendous important,essay002,train,1711,1795,Claim,keeping the cultural traditions in the destination countries is tremendous important
T11,Premise 1323 1412	children immigrated to a new country will face social troubles in school with new friends,essay002,train,1323,1412,Premise,children immigrated to a new country will face social troubles in school with new friends
T12,"Premise 1414 1571	In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home",essay002,train,1414,1571,Premise,"In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home"
T13,"Premise 1573 1685	Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",essay002,train,1573,1685,Premise,"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism"
T14,Claim 1819 1908	there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures,essay002,train,1819,1908,Claim,there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures
T1,MajorClaim 352 475	it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations,essay003,train,352,475,MajorClaim,it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations
T2,MajorClaim 1568 1701	international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries,essay003,train,1568,1701,MajorClaim,international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries
T3,Claim 955 1012	tourism has clearly improved lives in the tourist country,essay003,train,955,1012,Claim,tourism has clearly improved lives in the tourist country
T4,Premise 487 613	international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists,essay003,train,487,613,Premise,international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists
T5,"Premise 615 784	Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores",essay003,train,615,784,Premise,"Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores"
T6,Premise 786 943	These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard,essay003,train,786,943,Premise,These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard
T7,"Premise 1024 1135	through tourism industry, many cultural values have been preserved and natural environments have been protected",essay003,train,1024,1135,Premise,"through tourism industry, many cultural values have been preserved and natural environments have been protected"
T8,Claim 1454 1526	tourism has survived many non-tangible cultural values and beauty scenes,essay003,train,1454,1526,Claim,tourism has survived many non-tangible cultural values and beauty scenes
T9,"Premise 1151 1329	in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry",essay003,train,1151,1329,Premise,"in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry"
T10,"Premise 1331 1446	Without this support and profit from tourism, many traditional cultures would disappear due to its low income works",essay003,train,1331,1446,Premise,"Without this support and profit from tourism, many traditional cultures would disappear due to its low income works"
T1,MajorClaim 262 376	this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,essay004,test,262,376,MajorClaim,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations
T2,MajorClaim 1663 1758	the tourism has created threatening pressure on both the sociocultural and natural environments,essay004,test,1663,1758,MajorClaim,the tourism has created threatening pressure on both the sociocultural and natural environments
T3,Claim 179 239	the tourism bring large profit for the destination countries,essay004,test,179,239,Claim,the tourism bring large profit for the destination countries
T4,Claim 953 1031	international tourism can create negative impacts on the destination countries,essay004,test,953,1031,Claim,international tourism can create negative impacts on the destination countries
T5,Claim 1578 1624	tourism has threatened the nature environments,essay004,test,1578,1624,Claim,tourism has threatened the nature environments
T6,Premise 417 530	tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations,essay004,test,417,530,Premise,tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations
T7,"Premise 532 818	Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits",essay004,test,532,818,Premise,"Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximize their profits"
T8,Premise 820 924	This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism,essay004,test,820,924,Premise,This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism
T9,Premise 1074 1158	tourism increasingly create harms to the natural habitats of the destination appeals,essay004,test,1074,1158,Premise,tourism increasingly create harms to the natural habitats of the destination appeals
T10,"Premise 1160 1413	As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions",essay004,test,1160,1413,Premise,"As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions"
T11,"Premise 1432 1550	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species",essay004,test,1432,1550,Premise,"many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species"
T1,MajorClaim 286 359	one who studies overseas will gain many skills throughout this experience,essay005,test,286,359,MajorClaim,one who studies overseas will gain many skills throughout this experience
T2,MajorClaim 1535 1652	living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,essay005,test,1535,1652,MajorClaim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life
T3,Claim 388 564	studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,essay005,test,388,564,Claim,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures
T4,Claim 775 883	living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,essay005,test,775,883,Claim,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet
T5,Claim 1330 1425	one who has studied and lived overseas will become more eligible for the job than his/her peers,essay005,test,1330,1425,Claim,one who has studied and lived overseas will become more eligible for the job than his/her peers
T6,"Premise 566 765	Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life",essay005,test,566,765,Premise,"Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life"
T7,"Premise 885 988	One who is living overseas will of course struggle with loneliness, living away from family and friends",essay005,test,885,988,Premise,"One who is living overseas will of course struggle with loneliness, living away from family and friends"
T8,Premise 993 1078	those difficulties will turn into valuable experiences in the following steps of life,essay005,test,993,1078,Premise,those difficulties will turn into valuable experiences in the following steps of life
T9,Premise 1090 1148	the one will learn living without depending on anyone else,essay005,test,1090,1148,Premise,the one will learn living without depending on anyone else
T10,Premise 1156 1238	employers are mostly looking for people who have international and language skills,essay005,test,1156,1238,Premise,employers are mostly looking for people who have international and language skills
T11,Premise 1240 1317	Becoming successful in this study will give the student an edge in job market,essay005,test,1240,1317,Premise,Becoming successful in this study will give the student an edge in job market
T12,Claim 1442 1524	there are many difficulties a student might face when studying and living overseas,essay005,test,1442,1524,Claim,there are many difficulties a student might face when studying and living overseas
T1,MajorClaim 174 209	studying abroad has many advantages,essay006,test,174,209,MajorClaim,studying abroad has many advantages
T2,"MajorClaim 1667 1759	studying abroad does not only have advantages, but also can change us in a very positive way",essay006,test,1667,1759,MajorClaim,"studying abroad does not only have advantages, but also can change us in a very positive way"
T3,"Claim 211 293	Students gain a lot out of the experience personally, academically, and culturally",essay006,test,211,293,Claim,"Students gain a lot out of the experience personally, academically, and culturally"
T4,Claim 309 407	students who study outside their countries can get a lot of experience living in a foreign country,essay006,test,309,407,Claim,students who study outside their countries can get a lot of experience living in a foreign country
T5,Claim 779 892	the new academic experience that the students can obtain at the institution where they are pursuing their studies,essay006,test,779,892,Claim,the new academic experience that the students can obtain at the institution where they are pursuing their studies
T6,Claim 1092 1147	Most important is the cultural aspect of the experience,essay006,test,1092,1147,Claim,Most important is the cultural aspect of the experience
T7,Premise 409 507	Living in a new country requires a great amount of flexibility and adaptability in one's character,essay006,test,409,507,Premise,Living in a new country requires a great amount of flexibility and adaptability in one's character
T8,Premise 522 577	students might face many challenges in the host country,essay006,test,522,577,Premise,students might face many challenges in the host country
T9,Premise 590 660	they should be able to deal with the obstacles that they may encounter,essay006,test,590,660,Premise,they should be able to deal with the obstacles that they may encounter
T10,Premise 662 746	Overcoming problems teaches the students how to be more mature and self-independence,essay006,test,662,746,Premise,Overcoming problems teaches the students how to be more mature and self-independence
T11,Premise 907 962	they will get exposed to a different educational system,essay006,test,907,962,Premise,they will get exposed to a different educational system
T12,Premise 964 1090	They will meet new professors and new classmates which makes the academic experience different from that in their home country,essay006,test,964,1090,Premise,They will meet new professors and new classmates which makes the academic experience different from that in their home country
T13,"Premise 1149 1242	While living in a foreign country, students can learn a lot about the culture of that country",essay006,test,1149,1242,Premise,"While living in a foreign country, students can learn a lot about the culture of that country"
T14,Premise 1257 1302	they can meet different people of the country,essay006,test,1257,1302,Premise,they can meet different people of the country
T15,"Premise 1304 1393	They can learn about their way of thinking, their customs and traditions, and way of life",essay006,test,1304,1393,Premise,"They can learn about their way of thinking, their customs and traditions, and way of life"
T16,Premise 1395 1442	Learning about others' cultures is so important,essay006,test,1395,1442,Premise,Learning about others' cultures is so important
T17,Premise 1444 1520	It contributes in building a new understanding in us of how we see the world,essay006,test,1444,1520,Premise,It contributes in building a new understanding in us of how we see the world
T18,"Premise 1522 1595	It makes us more open, and willing to accept different ideas and thoughts",essay006,test,1522,1595,Premise,"It makes us more open, and willing to accept different ideas and thoughts"
T19,Premise 1602 1649	it educates us about the world we are living in,essay006,test,1602,1649,Premise,it educates us about the world we are living in
T1,MajorClaim 374 459	newspapers have lost their competitive advantage to sustain their prolonged existence,essay007,train,374,459,MajorClaim,newspapers have lost their competitive advantage to sustain their prolonged existence
T2,Claim 1090 1175	the print media has failed to keep its important role in the provision of information,essay007,train,1090,1175,Claim,the print media has failed to keep its important role in the provision of information
T3,"Premise 554 650	to obtain information, using the internet is quicker and more convenient than reading newspapers",essay007,train,554,650,Premise,"to obtain information, using the internet is quicker and more convenient than reading newspapers"
T4,"Premise 652 888	Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime",essay007,train,652,888,Premise,"Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime"
T5,"Premise 890 1081	As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages",essay007,train,890,1081,Premise,"As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages"
T6,"Claim 1706 1838	the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time",essay007,train,1706,1838,Claim,"the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time"
T7,"Premise 1200 1324	from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one",essay007,train,1200,1324,Premise,"from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one"
T8,Premise 1356 1439	the internet service is being provided at a low cost or even free in many countries,essay007,train,1356,1439,Premise,the internet service is being provided at a low cost or even free in many countries
T9,"Premise 1624 1687	The answer, perhaps, is that hardly would rational people do so",essay007,train,1624,1687,Premise,"The answer, perhaps, is that hardly would rational people do so"
T10,Claim 2107 2188	newspapers' production will have to face environmentalists on its way to be alive,essay007,train,2107,2188,Claim,newspapers' production will have to face environmentalists on its way to be alive
T11,"Premise 1861 1993	when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down",essay007,train,1861,1993,Premise,"when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down"
T12,Premise 1995 2090	This is simply the contributor to the deforestation which is happening all over the world today,essay007,train,1995,2090,Premise,This is simply the contributor to the deforestation which is happening all over the world today
T1,MajorClaim 468 539	a government is supposed to offer sufficient financial support for both,essay008,train,468,539,MajorClaim,a government is supposed to offer sufficient financial support for both
T2,MajorClaim 1909 1993	a government should spare effort on young children education as well as universities,essay008,train,1909,1993,MajorClaim,a government should spare effort on young children education as well as universities
T3,Claim 1995 2043	both are crucial on the way to a brighter future,essay008,train,1995,2043,Claim,both are crucial on the way to a brighter future
T4,"Claim 960 1167	if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education",essay008,train,960,1167,Claim,"if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education"
T5,"Premise 776 942	a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development",essay008,train,776,942,Premise,"a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development"
T6,"Premise 557 687	elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society",essay008,train,557,687,Premise,"elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society"
T7,Premise 689 771	government should guarantee that all people have equal and convenient access to it,essay008,train,689,771,Premise,government should guarantee that all people have equal and convenient access to it
T8,Claim 1687 1840	government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide,essay008,train,1687,1840,Claim,government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide
T9,Premise 1605 1672	Researches into humanities and art still need large amount of money,essay008,train,1605,1672,Premise,Researches into humanities and art still need large amount of money
T10,"Premise 1188 1331	for higher education, which represent the cutting edge of a country's academic achievements, act as the vanguard in economic and social advance",essay008,train,1188,1331,Premise,"for higher education, which represent the cutting edge of a country's academic achievements, act as the vanguard in economic and social advance"
T11,Premise 1333 1487	The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community,essay008,train,1333,1487,Premise,The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community
T12,Premise 1489 1573	Some may argue that universities can support themselve well by donation or invention,essay008,train,1489,1573,Premise,Some may argue that universities can support themselve well by donation or invention
T13,Premise 1579 1603	this argument is invalid,essay008,train,1579,1603,Premise,this argument is invalid
T1,"MajorClaim 1633 1720	Consideration and communication, in my personal opinion, are the most important quality",essay009,train,1633,1720,MajorClaim,"Consideration and communication, in my personal opinion, are the most important quality"
T2,MajorClaim 315 374	the most important quality of roommates is being considered,essay009,train,315,374,MajorClaim,the most important quality of roommates is being considered
T3,MajorClaim 393 465	communication is also another essential particularity of a good roommate,essay009,train,393,465,MajorClaim,communication is also another essential particularity of a good roommate
T4,Premise 468 517	Consideration is always important in relationship,essay009,train,468,517,Premise,Consideration is always important in relationship
T5,Premise 532 596	roommate turns down the music or television volume at night time,essay009,train,532,596,Premise,roommate turns down the music or television volume at night time
T6,Premise 598 684	Sometimes we will not know what we have done until we have a taste of our own medicine,essay009,train,598,684,Premise,Sometimes we will not know what we have done until we have a taste of our own medicine
T7,"Premise 686 830	At all times, think about the other's feeling before doing any self-centered action would help to improve the roommate relationship tremendously",essay009,train,686,830,Premise,"At all times, think about the other's feeling before doing any self-centered action would help to improve the roommate relationship tremendously"
T8,Claim 843 918	having a considered roommate is significantly imperative to our school life,essay009,train,843,918,Claim,having a considered roommate is significantly imperative to our school life
T9,Premise 920 1004	It will not only prevent conflicts but also to have a friend or even a family member,essay009,train,920,1004,Premise,It will not only prevent conflicts but also to have a friend or even a family member
T10,Premise 1016 1063	communication is as well making a good roommate,essay009,train,1016,1063,Premise,communication is as well making a good roommate
T11,"Premise 1456 1549	Through communication, bonded are build and we could have better understanding of each others",essay009,train,1456,1549,Premise,"Through communication, bonded are build and we could have better understanding of each others"
T12,Claim 1380 1411	communication is very important,essay009,train,1380,1411,Claim,communication is very important
T13,"Premise 1065 1147	People have different habit in daily life, such as tidy the blanket in the morning",essay009,train,1065,1147,Premise,"People have different habit in daily life, such as tidy the blanket in the morning"
T14,Premise 1149 1237	One might think this is a piece of cake while other would consider it as immense project,essay009,train,1149,1237,Premise,One might think this is a piece of cake while other would consider it as immense project
T15,Premise 1239 1367	If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk,essay009,train,1239,1367,Premise,If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk
T16,Premise 1415 1454	it would clear up the misinterpretation,essay009,train,1415,1454,Premise,it would clear up the misinterpretation
T3,"MajorClaim 328 397	governments spend more money on buses, trains, and subways investment",essay010,train,328,397,MajorClaim,"governments spend more money on buses, trains, and subways investment"
T4,Claim 484 578	they help alleviate traffic congestion and decrease the amount of carbon released into the air,essay010,train,484,578,Claim,they help alleviate traffic congestion and decrease the amount of carbon released into the air
T5,Premise 399 473	Such public vehicles are used to serve a large number of people in society,essay010,train,399,473,Premise,Such public vehicles are used to serve a large number of people in society
T1,Claim 1244 1353	the policy that concentrates money on developing public transportation brings an advantageous impact on earth,essay010,train,1244,1353,Claim,the policy that concentrates money on developing public transportation brings an advantageous impact on earth
T2,"Premise 1086 1231	if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released",essay010,train,1086,1231,Premise,"if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released"
T6,Premise 637 713	carbon emission cut is significantly essential for protecting the atmosphere,essay010,train,637,713,Premise,carbon emission cut is significantly essential for protecting the atmosphere
T7,"Premise 732 820	the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged",essay010,train,732,820,Premise,"the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged"
T8,"Premise 822 945	If governments use more money to improve roads, there is a strong likelihood that more people drive their private cars work",essay010,train,822,945,Premise,"If governments use more money to improve roads, there is a strong likelihood that more people drive their private cars work"
T9,"Claim 947 1075	This is sure to lead to more carbon emitted into the atmosphere, which can cause skin cancer and destroy the natural environment",essay010,train,947,1075,Claim,"This is sure to lead to more carbon emitted into the atmosphere, which can cause skin cancer and destroy the natural environment"
T10,Premise 1554 1607	there are a great number of vehicles flowing on roads,essay010,train,1554,1607,Premise,there are a great number of vehicles flowing on roads
T11,Premise 1432 1513	It is quiet clear that traffic congestion is a serious problem in many big cities,essay010,train,1432,1513,Premise,It is quiet clear that traffic congestion is a serious problem in many big cities
T12,Claim 1641 1732	governments have to turn people' attention on public vehicles to reduce cars and motorbikes,essay010,train,1641,1732,Claim,governments have to turn people' attention on public vehicles to reduce cars and motorbikes
T13,Premise 1734 1853	There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion,essay010,train,1734,1853,Premise,There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion
T14,Premise 1369 1430	the policy would play a pivotal part in relieving traffic jam,essay010,train,1369,1430,Premise,the policy would play a pivotal part in relieving traffic jam
T15,Claim 1891 1952	high-quality roads and highways make it easier to move around,essay010,train,1891,1952,Claim,high-quality roads and highways make it easier to move around
T16,MajorClaim 1968 2033	public transportation systems even have more important advantages,essay010,train,1968,2033,MajorClaim,public transportation systems even have more important advantages
T17,Claim 2035 2097	They not only ease traffic jam but also protect the atmosphere,essay010,train,2035,2097,Claim,They not only ease traffic jam but also protect the atmosphere
T1,MajorClaim 147 199	the physical education part should not be outweighed,essay011,train,147,199,MajorClaim,the physical education part should not be outweighed
T2,"Claim 201 350	Physical exercises help to create healthy nation, assist to learning through direct observation and finally aid to financial development of a country",essay011,train,201,350,Claim,"Physical exercises help to create healthy nation, assist to learning through direct observation and finally aid to financial development of a country"
T3,"MajorClaim 2111 2240	the more attention is withdrawn to a problem of physical education, the more influence we can get on academic success of students",essay011,train,2111,2240,MajorClaim,"the more attention is withdrawn to a problem of physical education, the more influence we can get on academic success of students"
T4,"Claim 795 938	if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation",essay011,train,795,938,Claim,"if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation"
T5,Premise 446 484	healthy body is basis for healthy soul,essay011,train,446,484,Premise,healthy body is basis for healthy soul
T6,Premise 486 581	There is a direct linkage between people's health and the frequency of doing physical exercises,essay011,train,486,581,Premise,There is a direct linkage between people's health and the frequency of doing physical exercises
T7,"Premise 583 623	The more we practice, the better we feel",essay011,train,583,623,Premise,"The more we practice, the better we feel"
T8,"Premise 639 789	there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better",essay011,train,639,789,Premise,"there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better"
T9,"Claim 949 1027	when we practice outdoors and indoors sports, many aspects are getting clearer",essay011,train,949,1027,Claim,"when we practice outdoors and indoors sports, many aspects are getting clearer"
T10,"Premise 1042 1147	when a person goes jogging everyday, eventually he can understand his own body through direct observation",essay011,train,1042,1147,Premise,"when a person goes jogging everyday, eventually he can understand his own body through direct observation"
T11,Premise 1156 1322	the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically,essay011,train,1156,1322,Premise,the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically
T12,"Premise 1337 1446	almost all natural science discoveries were made by direct observation, which is a part of physical education",essay011,train,1337,1446,Premise,"almost all natural science discoveries were made by direct observation, which is a part of physical education"
T13,Claim 1470 1554	financial sustainability of a region mostly depends on how healthy the population is,essay011,train,1470,1554,Claim,financial sustainability of a region mostly depends on how healthy the population is
T14,Premise 1570 1657	the money invested into physical education program can save allocations into healthcare,essay011,train,1570,1657,Premise,the money invested into physical education program can save allocations into healthcare
T15,Premise 1665 1700	the nation is comparatively healthy,essay011,train,1665,1700,Premise,the nation is comparatively healthy
T16,Premise 1719 1808	physically healthy people can contribute more both into economical and social development,essay011,train,1719,1808,Premise,physically healthy people can contribute more both into economical and social development
T17,"Premise 1831 1884	the better a person feels, the better his brain works",essay011,train,1831,1884,Premise,"the better a person feels, the better his brain works"
T18,Claim 1897 2007	putting physical activities in early steps of human development would finally lead to mentally healthy society,essay011,train,1897,2007,Claim,putting physical activities in early steps of human development would finally lead to mentally healthy society
T19,Premise 2018 2065	it ends up with financially competitive country,essay011,train,2018,2065,Premise,it ends up with financially competitive country
T3,Claim 390 467	email can be count as one of the most beneficial results of modern technology,essay012,train,390,467,Claim,email can be count as one of the most beneficial results of modern technology
T4,"Premise 469 696	Many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered",essay012,train,469,696,Premise,"Many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered"
T5,"Premise 702 897	nowadays, all people can take advantage of internet to have their own email free, and send their emails to everyone in no time, besides they can be sure if their emails have been delivered or not",essay012,train,702,897,Premise,"nowadays, all people can take advantage of internet to have their own email free, and send their emails to everyone in no time, besides they can be sure if their emails have been delivered or not"
T6,Premise 899 959	Another important aspect on technology is transferring money,essay012,train,899,959,Premise,Another important aspect on technology is transferring money
T7,"Premise 961 1035	Today, students can apply for foreign universities much easier than before",essay012,train,961,1035,Premise,"Today, students can apply for foreign universities much easier than before"
T1,"Claim 1151 1247	with the advent of internet and online paying systems, you can do many thing at your home easily",essay012,train,1151,1247,Claim,"with the advent of internet and online paying systems, you can do many thing at your home easily"
T2,MajorClaim 1845 1899	technology has helped us to have more comfortable life,essay012,train,1845,1899,MajorClaim,technology has helped us to have more comfortable life
T8,"Claim 1901 1980	You can see its effects on transportation, communication, medicine and so forth",essay012,train,1901,1980,Claim,"You can see its effects on transportation, communication, medicine and so forth"
T9,"Premise 1037 1138	Not only with the help of sending email, but also using credit cards to pay all necessary fees online",essay012,train,1037,1138,Premise,"Not only with the help of sending email, but also using credit cards to pay all necessary fees online"
T10,"Premise 1716 1831	But now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily",essay012,train,1716,1831,Premise,"But now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily"
